,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
77,NDUFV3,P25712,NDUV3_BOVIN,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,Bos taurus (Bovine),Reviewed,mitochondrial ATP synthesis coupled electron transport,na,Electron transport. Respiratory chain. Transport,na
78,PKNOX1,Q2HJ84,PKNX1_BOVIN,Homeobox protein PKNOX1,PKNOX1,Bos taurus (Bovine),Reviewed,angiogenesis. camera-type eye development. erythrocyte differentiation. positive regulation of transcription by RNA polymerase II. regulation of transcription by RNA polymerase II. T cell differentiation,DNA-binding,Transcription. Transcription regulation,na
79,CBS,Q3SWY3,IMDH2_BOVIN,Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,Bos taurus (Bovine),Reviewed,cellular response to interleukin-4. circadian rhythm. GMP biosynthetic process. GTP biosynthetic process. lymphocyte proliferation,DNA-binding. Oxidoreductase. RNA-binding,GMP biosynthesis. Purine biosynthesis,Metal-binding. NAD. Potassium
80,U2AF1,A1A4K8,U2AF1_BOVIN,Splicing factor U2AF 35 kDa subunit,U2AF1,Bos taurus (Bovine),Reviewed,"mRNA splicing, via spliceosome",RNA-binding,mRNA processing. mRNA splicing,Metal-binding. Zinc
81,CRYAA,P02470,CRYAA_BOVIN,Alpha-crystallin A chain,CRYAA,Bos taurus (Bovine),Reviewed,na,Chaperone. Eye lens protein,na,Metal-binding. Zinc
82,SIK1,Q08DA1,AT1A1_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis. cellular sodium ion homeostasis. potassium ion import across plasma membrane. proton transmembrane transport. regulation of sodium ion transport. sodium ion export across plasma membrane,Translocase,Ion transport. Potassium transport. Sodium transport. Sodium/potassium transport. Transport,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding. Potassium. Sodium
83,HSF2BP,Q2KJ94,RAD51_BOVIN,DNA repair protein RAD51 homolog 1,RAD51,Bos taurus (Bovine),Reviewed,cellular response to camptothecin. cellular response to DNA damage stimulus. cellular response to hydroxyurea. cellular response to ionizing radiation. chromosome organization involved in meiotic cell cycle. DNA recombinase assembly. DNA unwinding involved in DNA replication. double-strand break repair via homologous recombination. interstrand cross-link repair. mitotic recombination-dependent replication fork processing. natural killer cell inhibitory signaling pathway. negative regulation of signaling receptor activity. positive regulation of DNA ligation. regulation of double-strand break repair via homologous recombination. regulation of protein phosphorylation. replication-born double-strand break repair via sister chromatid exchange. telomere maintenance via recombination. telomere maintenance via telomere lengthening,DNA-binding,DNA damage. DNA recombination. DNA repair,ATP-binding. Nucleotide-binding
84,RRP1B,Q3SWW9,PP1B_BOVIN,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,PPP1CB,Bos taurus (Bovine),Reviewed,cell cycle. cell division. circadian regulation of gene expression. entrainment of circadian clock by photoperiod. glycogen metabolic process. protein dephosphorylation. regulation of cell adhesion. regulation of circadian rhythm,Hydrolase. Protein phosphatase,Biological rhythms. Carbohydrate metabolism. Cell cycle. Cell division. Glycogen metabolism,Manganese. Metal-binding
85,PDXK,Q0II59,PDXK_BOVIN,Pyridoxal kinase,PDXK,Bos taurus (Bovine),Reviewed,pyridoxal 5'-phosphate salvage,Kinase. Transferase,na,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding. Sodium. Zinc
86,CSTB,P25417,CYTB_BOVIN,Cystatin-B,CSTB,Bos taurus (Bovine),Reviewed,cell surface receptor signaling pathway,Protease inhibitor. Thiol protease inhibitor,na,na
87,RRP1,Q3T0B6,C1QBP_BOVIN,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,Bos taurus (Bovine),Reviewed,"apoptotic process. complement activation, classical pathway. innate immune response. mature ribosome assembly. mRNA processing. negative regulation of defense response to virus. negative regulation of interferon-gamma production. negative regulation of interleukin-12 production. negative regulation of MDA-5 signaling pathway. negative regulation of mRNA splicing, via spliceosome. negative regulation of RIG-I signaling pathway. negative regulation of transcription by RNA polymerase II. phosphatidylinositol 3-kinase signaling. positive regulation of apoptotic process. positive regulation of cell adhesion. positive regulation of dendritic cell chemotaxis. positive regulation of mitochondrial translation. positive regulation of neutrophil chemotaxis. positive regulation of protein kinase B signaling. positive regulation of substrate adhesion-dependent cell spreading. positive regulation of trophoblast cell migration. regulation of complement activation. RNA splicing",na,Adaptive immunity. Apoptosis. Complement pathway. Immunity. Innate immunity. mRNA processing. mRNA splicing. Ribosome biogenesis. Transcription. Transcription regulation,na
88,AGPAT3,G5E5P6,G5E5P6_BOVIN,1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3,Bos taurus (Bovine),Unreviewed,na,Acyltransferase. Transferase,na,na
89,KCNH7,F1N4A4,F1N4A4_BOVIN,Potassium voltage-gated channel subfamily H member 7,KCNH7,Bos taurus (Bovine),Unreviewed,potassium ion transmembrane transport. regulation of membrane potential,na,na,na
90,GCA,Q3MHX3,RBM4_BOVIN,RNA-binding protein 4,RBM4,Bos taurus (Bovine),Reviewed,"cap-independent translational initiation. cell differentiation. circadian regulation of translation. entrainment of circadian clock by photoperiod. IRES-dependent translational initiation of linear mRNA. miRNA mediated inhibition of translation. mRNA splicing, via spliceosome. negative regulation of translation. negative regulation of translational initiation. negative regulation of translation in response to stress. positive regulation of muscle cell differentiation. regulation of alternative mRNA splicing, via spliceosome. regulation of nucleocytoplasmic transport. response to arsenic-containing substance",Activator. RNA-binding,Differentiation. mRNA processing. mRNA splicing. RNA-mediated gene silencing,Metal-binding. Zinc
91,IFIH1,E1BJZ0,E1BJZ0_BOVIN,RNA helicase,IFIH1,Bos taurus (Bovine),Unreviewed,cellular response to exogenous dsRNA. innate immune response. MDA-5 signaling pathway. positive regulation of interferon-alpha production. positive regulation of interferon-beta production. positive regulation of interleukin-6 production. positive regulation of response to cytokine stimulus. positive regulation of tumor necrosis factor production. protein sumoylation. response to virus,Helicase. Hydrolase. RNA-binding,Antiviral defense. Immunity. Innate immunity,ATP-binding. Metal-binding. Nucleotide-binding. Zinc
92,FAP,A5D7B7,SEPR_BOVIN,Prolyl endopeptidase FAP,FAP,Bos taurus (Bovine),Reviewed,angiogenesis. cell adhesion. endothelial cell migration. melanocyte apoptotic process. melanocyte proliferation. mitotic cell cycle arrest. negative regulation of cell proliferation involved in contact inhibition. negative regulation of extracellular matrix disassembly. positive regulation of cell cycle arrest. positive regulation of execution phase of apoptosis. proteolysis. proteolysis involved in cellular protein catabolic process. regulation of collagen catabolic process,Hydrolase. Protease. Serine protease,Angiogenesis. Apoptosis. Cell adhesion,na
93,GCG,P01272,GLUC_BOVIN,Pro-glucagon,GCG,Bos taurus (Bovine),Reviewed,adenylate cyclase-activating G protein-coupled receptor signaling pathway. adenylate cyclase-modulating G protein-coupled receptor signaling pathway. glucose homeostasis. lactate biosynthetic process. lipid biosynthetic process. negative regulation of apoptotic process. negative regulation of execution phase of apoptosis. positive regulation of calcium ion import. positive regulation of ERK1 and ERK2 cascade. positive regulation of gluconeogenesis. positive regulation of histone H3-K4 methylation. positive regulation of insulin secretion involved in cellular response to glucose stimulus. positive regulation of peptidyl-serine phosphorylation. positive regulation of peptidyl-threonine phosphorylation. positive regulation of protein binding. positive regulation of protein kinase activity. protein kinase A signaling. regulation of insulin secretion. response to activity,Hormone,na,na
94,DPP4,P81425,DPP4_BOVIN,Dipeptidyl peptidase 4,DPP4,Bos taurus (Bovine),Reviewed,behavioral fear response. cell adhesion. endothelial cell migration. locomotory exploration behavior. negative regulation of extracellular matrix disassembly. negative regulation of neutrophil chemotaxis. positive regulation of cell population proliferation. proteolysis. psychomotor behavior. regulation of cell-cell adhesion mediated by integrin. response to hypoxia. T cell activation. T cell costimulation,Aminopeptidase. Hydrolase. Protease. Receptor. Serine protease,Cell adhesion,na
95,SLC4A10,Q32LP4,S4A10_BOVIN,Sodium-driven chloride bicarbonate exchanger,SLC4A10,Bos taurus (Bovine),Reviewed,bicarbonate transport. brain morphogenesis. ion homeostasis. locomotory exploration behavior. multicellular organism growth. post-embryonic development. proton transmembrane transport. pyramidal neuron development. regulation of intracellular pH. regulation of short-term neuronal synaptic plasticity. response to light stimulus. transmembrane transport. visual perception,na,Antiport. Ion transport. Sodium transport. Symport. Transport,Sodium
96,TBR1,E1BK81,E1BK81_BOVIN,T-box brain transcription factor 1,TBR1,Bos taurus (Bovine),Unreviewed,"amygdala development. cell fate specification. commitment of neuronal cell to specific neuron type in forebrain. conditioned taste aversion. heart looping. hindbrain development. negative regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II. regulation of axon guidance. regulation of neuron projection development. regulation of transcription by RNA polymerase II. specification of animal organ identity",DNA-binding,Transcription. Transcription regulation,na
97,PSMD14,A1L5A6,ADRM1_BOVIN,Proteasomal ubiquitin receptor ADRM1,ADRM1,Bos taurus (Bovine),Reviewed,proteasome assembly. transcription elongation from RNA polymerase II promoter. ubiquitin-dependent protein catabolic process,na,na,na
98,TRNAL-CAA,na,na,na,na,na,na,na,na,na,na
99,TANK,A6QQJ8,ZC12A_BOVIN,Ribonuclease ZC3H12A,ZC3H12A,Bos taurus (Bovine),Reviewed,"3'-UTR-mediated mRNA destabilization. angiogenesis. apoptotic process. cell differentiation. cellular response to chemokine. cellular response to DNA damage stimulus. cellular response to glucose starvation. cellular response to interleukin-1. cellular response to ionomycin. cellular response to lipopolysaccharide. cellular response to oxidative stress. cellular response to sodium arsenite. cellular response to tumor necrosis factor. cellular response to virus. immune response-activating signal transduction. negative regulation by host of viral genome replication. negative regulation of cardiac muscle contraction. negative regulation of cytokine production involved in inflammatory response. negative regulation of I-kappaB kinase/NF-kappaB signaling. negative regulation of interferon-gamma production. negative regulation of interleukin-1 beta production. negative regulation of interleukin-6 production. negative regulation of muscle cell apoptotic process. negative regulation of NF-kappaB transcription factor activity. negative regulation of NIK/NF-kappaB signaling. negative regulation of nitric oxide biosynthetic process. negative regulation of production of miRNAs involved in gene silencing by miRNA. negative regulation of protein phosphorylation. negative regulation of T-helper 17 cell differentiation. negative regulation of tumor necrosis factor production. nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay. positive regulation of angiogenesis. positive regulation of autophagy. positive regulation of cell death. positive regulation of defense response to virus by host. positive regulation of endothelial cell migration. positive regulation of execution phase of apoptosis. positive regulation of fat cell differentiation. positive regulation of lipid storage. positive regulation of miRNA catabolic process. positive regulation of mRNA catabolic process. positive regulation of p38MAPK cascade. positive regulation of protein deubiquitination. positive regulation of protein import into nucleus. positive regulation of reactive oxygen species metabolic process. positive regulation of transcription by RNA polymerase II. protein complex oligomerization. protein deubiquitination. RNA phosphodiester bond hydrolysis. RNA phosphodiester bond hydrolysis, endonucleolytic. T cell receptor signaling pathway",Developmental protein. Endonuclease. Hydrolase. Nuclease,Angiogenesis. Apoptosis. Differentiation,Magnesium. Metal-binding. Zinc
